평점,리뷰
1,너무 불편..가입을 몇번해야..가능한건지.. 쓰레기 어플..휴대폰인증. 은행을 몇번 인증하는건지..
5,원격줄서기 편해요! 매장에서 등록했는데 폰으로도 되는줄 몰랐어요ㅠ 쫌 아쉽!!
1,예약접근이 쉽지않게되어있고앱설치해도 어디에서걸려도 걸리네요. 포기하는게 날것같앙요 식당에서 먹는게 이렇게 어려워서야 하늘에 별따기예요
5,"맛집은 가고싶고, 줄서기는 싫은 사람인데 이 어플만 있으면 줄 안서고 갈 수 있어서 좋음."
4,밥집은 정말 많은데 카페가 별로 없는 점이 아쉽지만 그래도 주말마다 넘넘 잘~ 쓰고 있습니다:D
5,맛집 대기시간이 길어서 잘 안갔는데 이거 원격줄서기로 등록하면 많이 안 기다려서 자주 쓰고 있어요
1,한개도아깝네요 예약 2주나했는데 항상 사용자가많아 다시시도하란말만뜨고 시간도 늦게뜨고 2주동안실패입니다
1,원격줄서기 하는데 계좌등록은 왜 해야되는거죠? 설명도 안해주고. 진짜 이상한 어플이네.
1,업데이트 할꺼도 없으면서 왜자꾸 업데이트하라고해요 필요할때 바로바로 사용못하게...불편해
1,거지같은 테이블링 페이 가입안하면 줄서기 못하게하고 가입하려니 가입도 튕겨대고 거지같이 바뀌었네
5,테이블링 예전부터 써왔는데 전보다 맛집이 엄청 늘어서 외식할때 많은 도움이 됩니다 :)
1,아니 테이블링페이 인증까지 햐도 화면이 안넘어가서 계속 다시하게 만드네요 이거 좀 해결하시죠
4,매장에서 보고 편리하고 좋은 어플 같아서 다운받았어요! 그런데 저희 지역은 검색이 안 되네요 ㅠㅠ 지방은 원격 서비스 언제 제공되나요??
1,카톡연동 되지도 않는데 왜 있는 기능인지 모르겠네요 식당 줄서기 하려고 깔았는데 약관동의만 하다가 10분정도걸리고 마감되서 그냥 다시 삭제하네요 원격줄서기 하는데 왜 은행 자동이체 까지 인증하고 동의 해야하는지.. 선약금 받는 식당도 아닌데
4,연돈 인스타에서 보고 설치했는데 운 좋게 예약까지 성공해서 맛있게 먹었음 다음에 또 사용할듯 너무 좋음.
1,아니.. 테이블링 잘쓰고있었는데 업데이트 하고나서 테이블페이최악악악...ㅜㅠ 리뷰 자체 처음 써보고 안좋은 소리 써본것도 처음이에요 ㅜㅠ
5,식당 예약할 때 항상 긴장했는데ㅋㅋ 폰으로 예약 대기 다 되니까 넘 편하네요
5,주변 사람들한테 추천하고 다닐 정도로 제가 원격줄서기 진짜 자주씁니다ㅎㅎㅎ 좋은 서비스 감사합니다ㅎㅎ
1,여행지와서 정말 기가차는 경험을 하게됨. 제발 이용하지마세요
5,"엄청 유명한 맛집은 대기시간이 어마어마하더라구요,, 그런 맛집 갈때 유용하게 사용하고 있습니다!"
5,"연돈은 가고싶지만 예전처럼 줄서는건 생각도 못했던 사람입니다 ㅠㅠ테이블링을 쓰다길래 드디어 나한테도 그나마 기회가 생겨서 기쁘지만 왜 다들 연티켓,,연티켓 하는지 알것같아요 ㅠㅠㅠ 예약잡기가 왤케 빡쎈지! 그래도 매일 도전해봅니다 ㅠㅠ"
1,한심한 앱 로그인이 필요하면 처음부터 가입을 받던가 앱깔아놓고 예약 급하게하려는데 그 순간에 가입하라고 뜨는건 머임? 애초에 메뉴를 막던가
4,다른 어플들은 맛집이라고 해놓고 처음 들어보는 곳도 많은데 테이블링은 진짜 맛집만 있는듯
1,갑자기 페이 등록 안하면 예약 못하게 바뀌고 인증 받으려니까 문자 발송도 안되고 ㄱㅐ 병ㅣ신 같네요 바로 삭제했다 ㅅㄱㄹ
4,맛집 허탕칠 일은 없어서 좋음. 음식점에서 필수적으로 다 테이블링 깔았으면 좋겠다.
1,서버는 감자에 전선꼽아 돌리는지 맨날 터지고 어플자체 호환도 끔찍해서 재설치 3번째네요 ^^7
4,예전부터 사용하는데 요즘 어플도 많이 이뻐지고 매장도 많아져서 너무 좋아요~~~
5,매장이 엄청 많이 늘어났네요! 사장님들 원격줄서기 많이 써주세요 넘넘편하고좋아요
5,식당 가는길에 대기 걸면 도착해서 별로 안기다리고 입장할 수 있어서 편해요 앞으로도 자주 쓸 것 같아요
5,원격대기 너무 편해서 유명한 맛집들 다 여기 들어왔으면 좋겠네여ㅠㅠㅠ 테이블링 계속 열일해주세요ㅠㅠㅠㅠ!!!
1,강제 업데이트 시켜서 했는데 아에 앱자체에 못들어감. 왜이렇게 만들었을까? 4일이나 지났는데 빠른 수정좀 하세요.
1,카카오 서비스로 가입한다니까 아이디를 새로만들게하고 테이블링페이도 등록해야하고...번거로움에 비해 필요성은 떨어지는 앱입니다.
1,고객 업체 모두다 불편하기 짝이없음 도대체 왜 업데이트를 해서 사용이 더 불편해지고 복잡해지고 낳아진게 하나도없고 더 불편해짐 짜증납니다 사용하기
5,"원격으로 미리 대기 인원 수 보고, 줄서기까지 가능하니 너무 편리해요:)"
2,인증 후 충전계좌등록했는데 계속 등록하라고 뜨네요 너무 불편합니다
4,맨날 실패하다가 겨우겨우 연동 예약 성공했어요 아직 먹진 않았지만ㅎ 테이블링 어플 깐 보람이 있습니다^^
5,테이블링 예약서비스 편리해서 좋아요! 앞으로도 잘쓰겠습니다ㅎ
1,이앱 정말 별로입니다 예약하려니까 사용자 많다고 안들어가지고 진짜 최악입니다 서버관리늘 어떻게하면 이러는지 정말궁금하군요 진짜 최악입니다
5,웨이팅 맛집을 찾아가서 기다림없이 바로 먹을 수 있는 점이 너무 좋아요 이런 앱이 나와줘서 고맙네요
1,인증에 인증에 페이에서 손절 회원탈퇴 바로 신청했음. 이런앱은 또 첨보네요. 먹으려했던 가게 이거 가입하다 안가기로 했어욤
5,서울맛집만 많을줄 알았는데 의외로 울동네 맛집도 있어서 깜놀ㅋㅋ 줄서기 최곱니다😎^^
1,줄서기 하고 3천원 결제했는데 막상 매장 도착하니 서버 문제로 줄서기 접수가 안되었다고 하고 환불도 안되니 테이블링에 전화하라고 하네요 전화했더니 주말이라 전화안되서 환불도 안되고 사전결제 받는 앱이 너무 책임값없네요 최악입니다 여행 첫날 저녁을 망쳤어요
5,외국에 살았어서 오픈테이블 많이 썼는데 비슷한 어플이 한국에도 있네요ㅋㅋ
1,무슨 계좌하나등록하기가 이래어려운지ㅡㅡ 쓰고싶어도 쓸수가없네요 그다음 넘어가지가않아요
1,굳이 충전까지하면서 ..?
1,왜 자꾸 광고가 뜨나요.앱도 안깔았는데 다른앱 검사하는데 화면 전체에 떠서 시야를 가리니 스트레스 받습니다.광고 안뜨게 도와주세요🥺
1,원격줄서기와 예약시스템의 차이가 뭐죠? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 제대로 어플을 사용못한 저의 책임도 있지만 예약불가매장 옆에 원격줄서기? 뭔 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 본인들이 생각해도 안웃기나요ㅋㅋㅋ
5,아직 간편결제가 완전하다고는 못하겠지만 다양한 시도 하시네요 점점편리해지는것 같고요ㅋ 응원함다ㅋ
5,"웨이팅 필수인 맛집, 어플로 간편하게 다녀왔어요~ 자주 이용할것 같네요~ ㅎ"
1,테이블링 페이와 폭탄 어저구저쩌구에 탈퇴합니다. 조금 잘되면 쓸데없는 짓을 해서 실망 대실망하고 나갑니다.
4,지역별로 분류해서 어느집이 유명하고 사람들에게 인기있는지 알수있게하면 더 좋을것같습니다.
4,식당 예약할 땐 정말 좋아요. 원격줄서기도 더 많아졌으면 해요.
5,너무 맛있고 친절 해서 좋았어요
5,점심시간에 뭐먹을지 고민될때 습관처럼 켜봄ㅋㅋㅋ 근처식당 뭐있는지도 볼수있고 웨이팅도걸수있어서 시간많이아낍니다.
5,진짜 맛집만 있어서 믿을만하네요~ 지금까지 간 맛집 다 성공적이랍니다ㅋㅋ 이제 밖에서 밥 먹을 땐 이거 항상써요ㅋㅋ
1,"망하기를 자처한것 같네요. 업주 입장에서도 무료였던 프로그램을 매월 10만원 가까이 비용을 지불하라고 하고, 고객들에게 원격 줄서기 또한 유료화 시키더니.. 그 이상의 가치가 없어 저흰 이 앱을 떠납니다. 여기가 아니면 안될 이유도 없는데, 너무 수익부분에만 초점을 맞춰. 찐 고객들이 이탈하는겁니다."
4,급하게 식당 예약할 때 편리해요 이걸로 바로 예약되니 전화로 안해도 되겠어요
1,한거면 미리 결제 안하면 예약 못하게 해주세요. 이거 뭐 당근에 예약 되팔이도 있는데 제재를 안 하시나요? 이러면 되팔이는 계속 될듯 합니다.
4,자주 이용하고 있어요~ 전국 핫플 맛집에는 다 테이블링이 있는거같아요!
4,이정도면 꽤 좋은 어플! 일단 줄서지 않게 하겠다는 취지가 이시국에 돋보임!
2,주변 식당 찾기가 너무 불편함 어플에서 식당을 찾아보기가 힘드니 식당을 찾아서 어플에서 예약을 해야되는듯한 시스템임 저녁먹으려고 어플에서 찾아보려고 지역으로 검색하면 몇개 안나오고 200키로 300키로 떨어진 식당만 나옴 지방이라서 그런건지 이해가 안됨
1,폭탄 충전방법이 테이블링페이 결제밖에 없는데 지금까지 이용한 식당들은 테이블링페이 결제가 안된다네요 개선좀 해주세요
1,이용방법 안내가 좀 더 되어야 할 것 같습니다. 코드번호입력이 뭔지도 모르시는 분들이 많네요.
5,강추합니당!! 원격줄서기 한번쓰면 테이블링에 없는 가게는 이제 못갈거같아요ㅠㅠ 오랫동안 기다릴 자신이 읍다요
3,맛집 업데이트 많이돼서 좋음! 밖에서 밥 먹을때 맛집 참고하면 좋을듯여!!
5,청와옥 항상 줄이 많았는데 편하게 이용했어요 주차하느라 내순서 좀 늦었는데 다행히 이해해주셔서 잘 먹고 왔네요
3,밑에도 써있던데 카톡으로 가입하기해도 카톡아디비번 다 써야하고 기껏썼더니 다시 아이디비번 넣어서 가입해야됨... 그냥 첨부터 회원가입하라고하지 한시가 급해서 쓰는 어플인데 이게 무슨 헛짓거리인지. 화딱지나서 때려치려다가 겨우 가입함
5,너무 좋은데 많이 알려지지 않은듯해요 아는 사람이 얼마없고 테이블링 어플있는 것도 많이 몰라 주변분들께 알려주고 있어요~ 아직까지는 가게들도 활용이 미미해서 조금은 안타까워요~
4,가족끼리 외식할때 한번 사용해보고 편리하고 좋아서 그 뒤로도 계속 애용하고 있네요~
5,좀 유명한 맛집 방문하기 전에 습관처럼 켜봅니다ㅋㅋ 리뉴얼 후로 앱이 훨씬 편리해졌어요~
3,이제껏 왜 줄서서 기다렸는지 모르겠네요. 덕분에 웨이팅 안했어요. 원격줄서기는 앞으로도 종종 이용할 듯 싶어요.
1,회원 가입 하는게 너무 불편해요. 회원가입시 페이지가 잘 안 넘어가고 계좌 연동을 해야 하는 이유를 잘 모르겠어요.
1,무슨 원격줄서기 하나하는데도 계좌등록까지하고 자동이체 동의 Ars전화까지 받아야되냐. 사용자 편의는 개나줬나? 이딴걸 서비스라고 만들다니 정신차리고 개선해라
3,이 어플로 원격대기걸면 직장인 점심시간도 맛집 충분히 갈수 있어요! 너무 좋네요 ㅎㅎ
1,원격 줄서기쓰려면 가입하라그러고 가입하면 페이등록하라그러고 페이등록하려면 계좌까지연결해야되고.. ㅎㅎ.. 뭐... 예.... 앱 만든 뽕은 뽑으셔야죠?ㅎㅎ
5,좋습니다. 미리 줄서기해서 코로나시대에 아주 유용한 어플입니다.
5,다른 맛집 어플은 광고 많아서 진짜 보기 싫은데 테이블링은 광고 없어서 좋음 진짜 유명 맛집만 있는 느낌
5,자주 이용하게 되네요ㅎㅎ 유명한 맛집들을 기다리는 시간이 있는 경우가 많은데 이런 앱이 꼭 필요했어요 기다림이 필요없는 앱‍
1,본인 인증화면에서 무한로딩중입니다. 왜이러죠? 2번이나 다시 설치하고 휴대폰응 껐다 켜도 안되네요
1,가입하래서 카카오로 가입하기 했더니 개인 정보만 빼먹고 유저 정보를 찾을 수 없다고 하면서 로그인 암됨.
3,"날씨 추울때나 여름철에 줄서게되면안좋을거같아요?시정부탁, 부대찌게는 맛 최고입니다,"
5,완전 초기?때부터 썼는데 업데이트 될수록 좋은 어플이에요!!ㅋㅋ 점점 식당도 늘어남
1,앱 업데이트 이후 바로 삭제했습니다. 페이가입에 충전에 강제사항이 너무 많네요.
5,근처 카페에서 기다리다가 카톡 알림 확인하고 들어가면 시간 절약도 되고 편하네요. 다음엔 예약도 써봐야겠어요!
1,"원격 줄서기를 하기 위해서는 본인인증을 하라고 하는데 본인인증 페이지로 넘어가지질 않네요,,,,,,"
1,중요한 순간에 자주 강제종료됨 업데이트 할때마다 안좋아지고 있음
1,테이블링페이를 등록하지 않으면 안되는 구조라 아예 삭제했습니다. 노쇼를 방지하기 위함이라면 예약시에만 등록하면 될텐데... 아쉽네요.
1,인증을 몇번을 해야되는건지 쓴 앱들중에 최악이였어요..계좌인증에.. 토큰에 진짜..
1,자동 프로그램 매크로 못잡으면 있으나 마나한 어플입니다 별 하나도 아깝네요
3,예약권 판매에 대해 법적 조치중이라는 답변을 받으니 앱 관리에 손을 놓고 있지는 않는구나 하고 기대감이 생기네요. 빠른 조치가 이루어져 가게도 이용자도 피해가 없어졌으면 좋겠어요. 많은 발전 이루어지길 기대합니다.
1,계좌등록하래서할려고하면 계죈인증후연락온다더니 오지도않는데 고객비수신으로 되버림 이딴걸 왜만들어놓음?별하나도 아깝다
5,제가 더위를 많이 타는편인데 어플로 예약하고 시원한 카페에서 기다리다가 먹을수있다는게 너무 좋네요
1,연돈 때문에 가입 하긴했는데 연돈 예약 꽉차서 바로 지움. 요즘 네이버 페이니 카카오페이 삼성페이 얼마나 많은데 카드도 안되고 무조건 특정페이 가입을 해야 되고.. 불편해요
1,테이블링 페이 비번 등록 안돼요. 몇번을 시도해도 안돼요. 지우고 다시 설치해도 안돼요.
5,제주도에서 유용하게 썼어요 다른 지역 맛집도 많이 등록됐으면 좋겠어요
1,처음 사용하는거였는데 기다렸다가 시간 땡하고 줄서기 눌렀더니 그때부터 본인확인 계좌등록 ARS까지.....진심 욕 튀어나왔네요 그사이 당연히 대기마감됐구요ㅡㅡ
5,이제 주말에도 기다리는 시간 낭비안해서 좋아욥!! 진작에 알았으면 좋았을텐데.. 지금 매우 만족하면서 쓰고 있습니다아! ㅎㅎ
5,감사히 잘 쓰고 있는 어플입니다. 뭐먹을지 모르겠을 때 습관적으로 이 앱 켜요
1,....이게 이런 앱이 될줄은 정말 생각도 못했음 개인정보 열람을 몇번하고 페이계좌까지 등록하길래 그래 어디 어떤 서비스로 바뀌었길래 그렇게까지 하나보자 했음. 결국은 내가 원격으로 줄서주니까 나한테 돈(폭탄)내~ 였음. 오늘 쓰고 내일 회원 탈퇴할 예정. 내 개인정보 꼭 다 없애주기 바람
4,지역검색이나 주변 맛집 보는 방법이 있으면 좋겠어요...
1,헉 내일 당장이용하려고 설치하고 가입했는데 리뷰보니 계좌등록을 안하면 가입시 받은 폭탄만으로 사용할수가없다네요ㄷㄷ바로 삭제할게욧!
1,"디지털 소외를 만들기 위한 어플, 납득이 안되는 원격 줄서기를 위한 페이 등록"
5,처음 가입하니깐 폭탄을 무료로 줘서 원격줄서기 할 수 있었어요. 앞으로도 쭉 사용할 듯.
5,"유명한 식당가려면 1,2시간 기다리는건 기본인데 테이블링 덕분에 시간낭비 안해서 좋았어요!"
5,테이블링 처음 나왔을 때부터 쭉 쓰고 있던 애용자에요 ㅎㅎ 업데이트 되면서 더 좋아졌어요
1,대기목록에 동일한 휴대폰 번호가 있다면서 원격줄서기가 안돼요.
5,놀러갈때 첨 써봤는데 좋은거같아요ㅎㅎ 밖에서 기다리는 시간을 줄일수있음!
1,한 번 이용하는데 인증해야하는 게 뭐 이리 많은지 모르겠고 횟수 제한 걸어 놓은 것 같은 운영도 맘에 안듬
1,위치기반 동의후 확인을 누르면 되는 프로세스인데 확인버튼이 전혀 눌리지 않음 모 이런 앱이 다 있음
3,요새 밖에 나가서 잘안먹지만 습관적으로 켜보고 있어요ㅋㅋㅋㅋㅋ 맛집 알아두기 좋아서리
5,가뜩이나 예민한 시기에 사람들 끼리 다닥 다닥 붙어서 줄서는거 싫은데 원격 줄서기하면 그럴 일 없어 좋아요~~
5,"원래 친구들이랑 맛집갈때는 번갈아가면서 줄서곤 했었는데, 이젠 다같이 어디 가서 구경하다가 가면되니까 너무 좋아요 ㅠㅠㅠㅠㅠ"
1,"진짜 내가 리뷰 첨써보는데 카카오톡도 안돼 페북도 안돼, 이메일로 가입할랬더니 전화번호 계좌 등등 모든 인증이란 인증은 다하고 계좌등록까지? 가입하는데 20분 넘게걸렸고 화딱지납니다."
4,좋은데 지역별로 테이블링 가능 매장이 보이면 좋겠어요
1,간편 로그인 하려니까 유저정보를 찾을 수 없다는 메시지만 나오네요. 왜 되지도 않는걸 왜 만들어 뒀는지 모르겠네요..
5,전에 원격줄서기 했을때 도착못할까봐 쫄렸는뎅ㅋㅋ 순서미루는거 생겨서 넘조아용!!!
1,sns연동으로 가입눌렀는데 새로 이메일부터 회원가입 새로해야되고 가입해서 줄서기하려니까 테이블링페이 필수로 가입해야되고 계좌등록해야되고 ㅋㅋ... 가입했다 바로 탈퇴했습니다. 안먹고말지
1,설마 평점 조작 하시는거 아니죠 불가 얼마전에 2점대였는데.. 초심으로 돌아가주세요 bm을 너무 잘 못 잡은거 같아요
5,한번 원격줄서기 경험하고 나면 줄서서 못먹는당..
1,폭탄 정말 최악의 과금 시스템이네요. 이미 업장에서 달마다 운영료를 받고 있는거 아닌가요? 폭탄응 차라리 돈을 받고 팔던가 충전도 최하 2만원단위 자동충전.. 사용성도 최악이네요. 식당 갈때마다 업주한테 예약업체 바꿔달라고 요구할겁니다.
2,가입하자마자 바로탈퇴하게 만드는 앱 테이블링페이도 가입해야 사용할 수 있어요
1,개 쓰레기앱. 로그인을 먼저 하게해야지 대기걸때나 하게 해놔서 개망했네
5,어디 여행갈때 필수! 이거 없으면 맛집 탐방 못해요 이제 ㅠㅠ
5,업데이트되면서 내위치 주변맛집을 볼수있어서 좋네요
5,코드입력하는거 아이디어 좋은듯? 대기만 걸고 노쇼하는 사람 걸러져서 회전율 올라감.
1,이런쓰레기앱을 왜 만든건가요? 페이로 갑질하고 인증하기도 쉽지도 않고 욕이 저절로 나오네요 후기 잘 안쓰는데 짜증나서 씁니다
3,연돈 예약하기 왜이렇게 어려운거죠ㅠㅠ 지인은 한번에 성공했다눈데ㅠㅠㅠㅠ 제주에 있는동안 계속 도전해서 꼭 먹을거에요 ㅠㅠㅠㅠ
1,"로그인이 안됨. 매일 똑같은 비번으로 들어가는데, 오늘따라 유독 안들어가짐."
1,업댓 이후로 너무 귀찮아져서 테이블링 쓰는 가게 안 가고 있다
5,요즘 진심 테이블링중독된듯👀👀ㅋㅋ 너무편함ㅋㅋ 이때까지 기다렸던시간이 아까움ㅋㅋㅋ
5,저는 버그 없이 어플 작동 잘 되구요. 업데이트 하면 다 잘 되네요.
4,친구덕에 이 어플 알게됐는데 주말에 놀러다닐 때 잘 쓰고 있어여 거의 여기 어플에 있는 매장만 가서 놀러갈 때 꼭 필요한... 맛집 더 넣어주세옇ㅎㅎ
2,"광주는 왜 없는거죠? 없다면 주변음식점보기나, 광주로도 검색할수있었으면 좋겠는데.. 아직 많이 미흡한거같네요"
3,내위치 켜두면 주변 맛집 알수있어서 편해여 어디 놀러갈때 자주 써여
1,위치기능 오류... 왜이래요 개선부탁드려요. 제주도인데.왜 다른앱은 인식하는데 이것만...
1,앱을 대학생 졸업작품 수준으로 만들었네 개불편함 계좌번호 붙여넣기는 왜안됨?? 전화 인증하면 다음으로 넘어가지도 않음
1,매장에 가는 중이라서 원격 줄서기를 이용하는건데 매장에 있는 확정번호 입력을 안하면 자동 취소라뇨... 그럼 이앱을 왜 사용하나요
5,줄 안서도 되고 시간별로 예약할 수 있어서 편함
5,리뷰에 사진이 있어서 많이 참고하며 사용하고 있어요 맛집 고를 때 참고하기 좋습니다
1,"아니 위약금이 필요하면 다른 결제수단을 하면 되는거지 무조건 테이블링 페이 등록하고 이용해야한다는게 말이 됩니까? 이건 끼워팔기랑 다를바 없는 불공정 거래죠, 페이가 유행하니 따라해보고 싶었나? 어플 조만간 망할듯"
1,버근지 뭔지는 모르겠네요. 왜 저만 예약이 안될까요?? 에러메세지도 없고 다른 사람은 예약 가능한데 저만 안되서 애꿏은 시간만 날렸네요.
1,테이블링페이 서비스 가입 버튼 눌러도 같은 화면입니다.
4,대기명단접수 후 알림톡에 내순서확인하기와 대기취소하기버튼 간격좀 띄워주세요 식겁했습니다
1,별점 하나도 아까운 어플 개발자가 누군지 돈들여서 만들었다는게 믿기지않을정도의 퀄리티 깔끔하기만하지 기능적으로 쓰레기어플
3,연돈예약도전하려고 깔았지만 아쉽게 못했네요 그래도 다른 맛집갈때 유용하게 사용했어요~~
1,지도 검색기능 없음 지역 검색후 가까운곳 설정시 엉뚱한 지역만 나옴
4,다 좋은데 딱한가지 포장하는 매장이 별로 없는게 아쉬움..
5,친구가 사용하길래 한번 따라서 깔아봄! 자주 애용할것같음ㅋㅋㅋㅋ
5,원격줄서기 안되는 매장도 있는건가요?!ㅠㅠ 다됐으면 좋겠어요 넘무 좋음ㅠㅠ
5,원격줄서기 정말 좋은듯ㅋㅋ 항상 잘 이용하고 있어요 ㅋㅋㅋ
1,인증하고 회원가입하려해도 이용하려하면 계좌인증하라는데 거기서부터 막힙니다. 이답도없는앱 쓰지도말고 깔지도마세요.
1,업데이트 ㅋㅋㅋㅋ기가 찬다...원격 줄서기 하려면 폭탄 필요 이러고 있네
4,지이인짜 잘쓰고 있어용~!~! 카페 웨이팅이 진짜 빡치는데ㅠ 카페도 많아졌으면 좋겠어용ㅎㅎ
1,원격줄서기 터치 후 인원설정란이 나오는 가게가 있고 안 나오는 가게가 있습니다 오류체크 부탁드려요
5,직접 안가도 미리 대기 걸 수 있어서 정말 편리해요! ㅎㅎ
5,적극추천합니다. 지속 발전하려고 노력하시는 모습이 좋네요.^^
4,어플 처음부터 썼는데 갈수록 매장 너무 많아져서 놀랬어요ㅋㅋ 어딜가나 있드라구요
5,전화예약이 아니라서 저같이 약간 전화울렁ㅇ증 있는 사람들한테 좋음.
5,원격줄서기 폰으로 되는 건 진짜 찐이다... 이런게 있는줄 몰랐음
5,앱이 더 깔끔해지고 맛집도 많이 늘어서 진짜쓰기 좋아요!
2,새로운 버젼으로 업데이트 하라면서 누르면 않넘어가네요
2,검색기능이 잘 안맞고 내 주변도 잘 안떠요
5,원격줄서기 경험이 너무 좋아서 계속 애용하고 있습니다
1,위치정보 허용몇번이나 눌렀는데 계속뜨네 ㄷㄷ 오류는 고칠생각이 없으세요?관리는 하세요? 진짜 앱 관리 안하네요;;
5,직원분들 친절하고 음식하나 하나 모두맛잇엇어요 뷰또한덤~~
1,새로바뀐 폭탄 시스템 이해가 안되네요 원격줄서기하고 시간맞춰들어갔는데 가게 키오스크로 주문하니 썼던 폭탄 못돌려받는 일이 생기네요
1,ㅎㅎ 이 앱에 등록돼 있음 뭐하노.. 줄서기가 안되는데 등록만 돼 있었음 대기줄 좀 편하게 해볼랬는데 이건 뭐 사기 맞은 느낌 내 데이터 돌리도.. 이 앱은 서울경기권에선 유용할지 몰라도 지방은 꽝이다 그냥 가서 줄서야 됨 업체 늘리기만 하지말고 줄서기 되는 업체만 올려라 짱난다
1,회원가입에 본인인증에 그렇다고 본인인증이 되는것도 아니고 문자인증 안됩니다 알뜰폰도 아닌데 왜 안되는지.. 엄청 버벅거리고 뭐 쓰라는건지 말라는건지
1,대부분이 제주 연*사용이신것같습니다.연돈 예약하기위해 저도 깔았고..근데 연돈 예약된걸 당근에서 2배가격에 판매되더라구요. 제주있는 4일내내 시도 했지만 안되서 웃돈주고 사서 먹었지만 씁쓸하더라구요.
5,사용전이지만 일단 이런 아이디어자체가 대박이라 별5개드립니다. 한국돌아가면 꼭 사용할거예요. 번창하세요!!!
1,업데이트 하고 들어가봤더니 테이블링페이로 돈 벌려고 원격줄서기 폭탄갯수 제한. 대기업들 흉내내기에 어플 이용자는 느닷없이 폭탄 맞은 기분... 네ㅇㅇ 예약이나 다른 유사 서비스가 있으니 그쪽으로 갈아탐.
5,테이블링 없으면 맛집 아님ㅋ 이제 외식할 때 테이블링에 있는 매장인지 확인부터 해요ㅋ
1,"이 앱 믿고 예약했다가 혹시나 해서 매장에 전화해보니까 예약안되어있어서 망신당할뻔 했어요. 뭐 공짜로 해주는거라 믿는사람이 바보겠지만 그래도 다른분들 낭패보지 말고, 앱서비스 하는 회사도 보완책을 마련하시라고 리뷰남겨요. 앞으로 다운받는 유저들은 더 발전된 사용자경험을 이용하시길 바래봅니다. 물론 저는 다시는 안쓸거지만."
1,아주 페이페이 아무나 다 페이같다붙이고 불편하기만하고 원격줄서기 대기 줄 반영은 안되고 최악의 어플
5,여행 가기 전에 미리 알았더라면 훨씬 편했을텐데 왜 이제서야 알았을까요ㅋㅋ
5,맛집갈때 원격으로 대기 걸면 진짜 편해요 =^^= 신세계..
1,자동이체 신청 선넘어 사용안합니다 그냥 전화로 예약할게요
1,도대체 가입을 몇번시키는지 ㅡㅡ 예약하려다 짜증나 죽는줄 알았네
5,미리 예약할수 있고 알림을 받을수있어 시간 절약하기 좋은것 같아요
4,점심시간에 식당 가면서 원격줄서기하면 시간절약되고 좋아요
5,줄서기 순서 미루는게 추가됐네여! 전에 늦을까봐 뛰어갔었는데 이번에는 미룰수 있어서 좋았습니다!
5,요즘 어딜가나 이런 시스템이 잘돼있어 편리합니다~^^ 나이 많으신분들은 좀 어려워할거같네요!^^ 부모님 모시고 가면 제가 항상 해드려요^^
1,계속 예약할때 쓰잘때기없는 알림 쳐올려서예약때 빡셈
5,원격줄서기 이렇게 좋은 서비스를 이제야 알았네요. 잘 사용하고 있습니다
4,이 어플 덕분에 요즘같은 시국에 옹기종기 모여서 웨이팅하지 않고 알림오면 입장할 수 있어서 좋아요.
5,서울 놀러갔을때 잘 썼는데 지방도 많아졌으면 좋겠어요(^^)💕ㅎㅎ
5,처음엔 원격줄서기 폭탄 어려웠지만 직접해보니까 강추 할 만합니다
1,심지어 태이블링페이 가입도 안되고 계속 튕겨요
4,원격으로 대기거는거 진짜 혁신ㅋㅋ 서비스 진짜 좋네요ㅋ
1,연돈 예약 과정이 복잡해졌습니다. 옛날처럼 바꿔주세요.
1,간편계좌 등록 계속 실패하고 완전 구림!!
1,테이블링페이 강제 사용도 어이없는데 가입도 에러나서 계속 안되네요
1,이게 말이됩니까? 연돈 먹을수 있으려면 기계보다 빠른사람만 가능한듯.. 매크로좀 막아주십숴
1,사용자불편최고 위치기반동의하라고하는데.. 설정이안됨..짜증유발
1,가입절차도 쓸 데 없이 길고 불편함 개발자 뭐함
1,앱접속불가... 너무자주 오류있음... 관리를하는건지.. 지금도 안됨... 앱 관리를 안하나봄
5,잘.쓰고있는 앱이에요~ 업데이트하니까. 보기편해져서.더좋네요~
5,UI도 깔끔하고 사용하기 쉽네요(^ㅡ^)
4,얼른 더더더더더더 많은 식당들이 더더더더 많은 지역에서 사용됐음조켔어요ㅠ
5,기다리지 않고 바로 입장해서 음식을 먹을 수 있다는게 좋네요 세상이 좋아져서 이런 앱도 생겼군요~최고에요
3,갤S10E 기종인데 원격줄서기 대기신청 버튼이 아래 가려져서 신청을 할수가 없네요 ㅜㅜ
1,가입하려해도ᆢ본인인증하려해도 휴대폰인증서 한없이 로딩ㅡㅡ 앱을 쓰라는거임 말라는거임?
1,설치했다 지웠습니다 계좌등록은 좀.... 그리고 툭하면 지혼자 꺼져요
2,로그인을 해놨는데 다음 날에 로그인이 안 돼서 하려는 가게를 못 했어요.. 마지막 기회였는데 너무 슬퍼요
1,계좌등록안됨 어플 사용이 안됨 계좌 ars인증까지 다해도 다음 절차로 넘어가질 않네요. 무쓸모 하네요
