평점,리뷰
1,별점 주기도 아까워요. 제주도에 있는 그 가게를 가기 위해서 깔았는데 아예 개인정보 인증 자체가 안됩니다. 핸드폰 통신사 누르는 그 페이지부터가 아무것도 안되구요. 뭐 8시 가까워져오면 예약 튕기니뭐니 그럴 수 있는데 아침 댓바람이건 새벽이건 할 것 없이 아예 아무 것도 안되는 어플입니다. 어플 그냥 지우는데 일부러 평점 남기려고 잊고 지내다가 지우기 직전에 평점 씁니다. 어지간해선 평점 안남기는데 정말 최악의 어플이었습니다.
1,아니 저기요... 페이 연결하라면서.. 결제 비밀번호 설정 창에서 왜 다음 화면으로 넘어가지를 않나요? 페이 연동해야 쓸 수 있다면서 페이 등록이 안되고 있는데 ㅋㅋㅋㅋ ㅋㅋㅋ 아니 뭐 어케 쓰라는 말인건데? 웨이팅 할 기회조차 안주네 진짜 ㅋㅋㅋㅋㅋㅋㅋㅋ 여행와서 개빡치네
1,메뉴선택창 생기고 더 그지같아졌어요~~~~ 시간이 떠도 메뉴창에서 품절이라고 자꾸 돌려보내고 그지같은 어플 그지같은 시스템 ~~~ 메뉴선택창 생기기 전엔 훨씬 쉬웠는데 접속만 그지같아지고 ~~~~~ 쓰리 그지s 그지같이 바뀌더니 접속도 안되네요 ㅠㅜㅜ R.I.P..
1,실제로 대기시간을 줄이고자 개발하신거 같은데 바쁜가게에만 해당이되고 그것조차도 코드번호 입력시스템을 만들어놓아서 조금이라도 늦으면 취소가 되서 처음부터 다시 접수해야하고 오히려 직접 기다리는 것보다 못합니다 많은 개선이 필요한듯
1,"이럴꺼면 차라리 예약비대행수수료를 따로 받으시고, 회사수익모델을 대행수수료로 변경하시는게 좋치않을까싶네요. 이건 정말 본의아니게? 갑질당한 기분이네요. 테이블링페이 필수등록 디파짓은 진짜 무리수네요. 인증도 안되구요. 너무 좋은 서비스인데 아쉽네요."
5,예전부터 쓰는 중인데 리뉴얼하면서 줄서기순서바꾸기 페이 등 편리한 기능 많이 생김. 타임세일이나 포장같은건 가능한 매장이 많이 생긴다면 앞으로 유용하게 쓸 수 있을 것 같음.
1,징짜최악이네요 3천원은 3천원대로 가져갔으면 예약 대기 몇명인지라도 보이게 해놓던가 아무리 여러번 눌러봐고몇명남았는지도 모른채 갔더니 순번 지났다고 하네요. 그리고 3천원은 음식점에 드리는겁니까? 아니면 그냥 원격예약비만 3천원챙기는겁니까? 뭐 하나 제대로 된게없이 이럴거면 원격예약 받지마세요
1,계좌 등록하라고해서 하려고해도 오류 계속 나서 등록도 안되는데 어떻게 하라는건지... 아니 인증을 도대체 몇번이나 해야되는거예요... 계좌정보 제공하는것도 이상하고 다른 페이 쓰게 하면 깔끔할 것을 굳이 또 테이블링페이 따로 쓰게 해서 개인정보동의 쓸데 없는거까지 다 하게 하고... 잘 만들어서 잘 되면 말 안하는데 계좌 연결하려고해도 오류로 계속 안되는데 어떡하라는건가요? 어플의 의미가 없어지고 있는 것 같아요
2,연* 예약은 운인가요..? 모두들 2~3초 이내로 완료까지 하실텐데 그럼 속도 때문은 아닐테고... 운으로 생각하기에는 보름이 다 되는데록 도전했는데 예약 못했네요.. 선택속도 줄이기 위해서 등심돈까스만 연속 두번누르는 전략으로 했는데도 안되네요;; 이거 먹고안먹고가 아니라 기분에 문제이고 예약 성공하신분들이 어떻게 예악된것인지 진심궁금하네요~~^^
1,1) 간편 등록이 가능하다는데 결국 정보 다 넣어야 가입 2) 서비스를 이용하려면 반드시 계좌 등록을 해야하네요 간편 카드 결제가 가능하거나 아니면 폭탄 구입용으로 소량만 결제룰 할 순 없나요... 등록할려다가 은행 계좌를 반드시 하라고해서... 이상해서 리뷰 남깁니다
